Month,Start Date,End Date,Duration,Time,Event,Location,,Event Type,Tier,Target Garage,Partner / Agreement,Recurring,Event Website,MG Landing Page,Marketing Start Date,Expected Attendance,SEM Needs,Contact,Partner Rates,Total Comp Validations,12 Hr Drive-Up,24 Hr Drive-Up,MG/Parking.Com Rate,Spothero Rate,Parkwhiz Rate,Notes
January,"Thu, Jan 18","Sat, Jan 20", 2 ,Various,Brett Goldstein,Chicago Theatre,-,Performance,Tier 3,,,,https://www.msg.com/calendar/the-chicago-theatre-january-2024-brett-goldstein/07005F44CCF92683,,,,,,,,,,,,,
January,"Thu, Jan 18","Thu, Jan 18", 1 ,7:30 PM,An Evening with John Cusack & Screening of High Fidelity,Auditorium Theatre,Auditorium Theatre,Performance,Tier 3,,,,https://auditoriumtheatre.org/events-details/john-cusack/,,,,,,,,,,,,,
January,"Fri, Jan 19","Fri, Jan 19", 1 ,8:00 PM,Makaya McCraven with special guest Meshell Ndegeocello,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/scp-jazz/makaya-mccraven/,,,,,,,,,,,,,
January,"Sun, Jan 21","Sun, Jan 21", 1 ,3:00 PM,Lucas & Arthur Jussen,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/scp-piano/lucas-and-arthur-jussen/,,,,,,,,,,,,,
January,"Wed, Jan 24","Wed, Jan 24", 1 ,9 AM - 5 PM,Field Museum free days,Field Museum,-,Community,,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
January,"Thu, Jan 25","Thu, Jan 25", 1 ,7:30 PM,An Evening with David Finckel and Wu Han,Harris Theater,Harris Theater,Performance,Tier 3,,,,https://www.harristheaterchicago.org/performance/evening-david-finckel-and-wu-han,,,,,,,,,,,,,
January,"Fri, Jan 26","Fri, Jan 26", 1 ,7:00 PM,Ali Siddiq: I Got A Story To Tell,Chicago Theatre,-,Performance,Tier 3,,,,https://www.msg.com/calendar/the-chicago-theatre-january-2024-ali-siddiq-i-got-a-story-to-tell/07005F3BC5612B89,,,,,,,,,,,,,
January,"Sat, Jan 27","Sat, Jan 27", 1 ,7:00 PM,Randy Rainbow for President,Chicago Theatre,-,Performance,Tier 3,,,,https://www.msg.com/calendar/the-chicago-theatre-january-2024-randy-rainbow/07005ECEA0BD3131,,,,,,,,,,,,,
January,"Sun, Jan 28","Sun, Jan 28", 1 ,7:00 PM,Civic Fellows Chamber Concert,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/civic-orchestra/civic-fellows-chamber-concert-jan28/,,,,,,,,,,,,,
January,"Mon, Jan 29","Mon, Jan 29", 1 ,7:30 PM,Mullova Plays Bach,Harris Theater,Harris Theater,Performance,Tier 3,,,,https://www.harristheaterchicago.org/performance/mullova-plays-bach,,,,,,,,,,,,,
January,"Wed, Jan 31","Wed, Jan 31", 1 ,9 AM - 5 PM,Field Museum free days,Field Museum,-,Community,,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
February,"Thu, Feb 1","Thu, Feb 1", 1 ,7:30 PM,Beyond the Aria: Program III,Harris Theater,Harris Theater,Performance,Tier 3,,,,https://www.harristheaterchicago.org/performance/beyond-aria-program-iii,,,,,,,,,,,,,
February,"Fri, Feb 2","Fri, Feb 2", 1 ,8:00 PM,Christian McBride’s The Movement Revisited,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/scp-jazz/christian-mcbride/,,,,,,,,,,,,,
February,"Fri, Feb 2","Fri, Feb 2", 1 ,6:00 PM,Jazzmeia Horn,Harris Theater,Harris Theater,Performance,Tier 3,,,,,,,,,,,,,,,,,
February,"Fri, Feb 2","Fri, Feb 2", 1 ,-,Groundhog Day (observed),-,-,Holiday,Tier 4,,,,,,,,,,,,,,,,,
February,"Sat, Feb 3","Sat, Feb 3", 1 ,7:30 PM,Complexions Contemporary Ballet,Auditorium Theatre,Auditorium Theatre,Performance,Tier 3,,,,https://auditoriumtheatre.org/events-details/complexions-contemporary-ballet/,,,,,,,,,,,,,
February,"Sat, Feb 3","Sat, Feb 3", 1 ,7:30 PM,"Ax, Kavakos & Ma",Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/scp-chamber/ax-kavakos-ma/,,,,,,,,,,,,,
February,"Sat, Feb 3","Sat, Feb 3", 1 ,7:00 PM,Vir Das,Chicago Theatre,-,Performance,Tier 3,,,,https://www.msg.com/calendar/the-chicago-theatre-february-2024-vir-das-mind-fool-tour/07005EDDA11A42EF,,,,,,,,,,,,,
February,"Sat, Feb 3","Sat, Feb 3", 1 ,2:00 PM,Jazzmeia Horn Family Matinee,Harris Theater,Harris Theater,Performance,Tier 3,,,,https://www.harristheaterchicago.org/performance/jazzmeia-horn-family-matinee,,,,,,,,,,,,,
February,"Sun, Feb 4","Sun, Feb 4", 1 ,3:00 PM,Hélène Grimaud,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/scp-piano/helene-grimaud/,,,,,,,,,,,,,
February,"Wed, Feb 7","Wed, Feb 7", 1 ,9 AM - 5 PM,Field Museum free days,Field Museum,-,Community,,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
February,"Thu, Feb 8","Thu, Feb 8", 1 ,7:30 PM,Seong-Jin Cho Plays Beethoven,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/cso-classical/seong-jin-cho-plays-beethoven/,,,,,,,,,,,,,
February,"Thu, Feb 8","Thu, Feb 8", 1 ,7:30 PM,Seong-Jin Cho Plays Beethoven,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/cso-classical/seong-jin-cho-plays-beethoven/,,,,,,,,,,,,,
February,"Fri, Feb 9","Fri, Feb 9", 1 ,7:30 PM,An American in Paris in Concert,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/cso-at-the-movies/american-in-paris-in-concert/,,,,,,,,,,,,,
February,"Fri, Feb 9","Fri, Feb 9", 1 ,7:30 PM,Music to Accompany a Departure,Harris Theater,Harris Theater,Performance,Tier 3,,,,https://www.harristheaterchicago.org/performance/music-accompany-departure,,,,,,,,,,,,,
February,"Sat, Feb 10","Sat, Feb 10", 1 ,3:00 PM,Chinese New Year Concert & Celebration,Harris Theater,Harris Theater,Performance,Tier 3,,,,https://www.harristheaterchicago.org/performance/chinese-new-year,,,,,,,,,,,,,
February,"Sat, Feb 10","Sat, Feb 10", 1 ,7:30 PM,Compañía Nacional de Danza,Auditorium Theatre,Auditorium Theatre,Performance,Tier 3,,,,https://auditoriumtheatre.org/events-details/compania-nacional-de-danza/,,,,,,,,,,,,,
February,"Sat, Feb 10","Sat, Feb 10", 1 ,7:30 PM,Seong-Jin Cho Plays Beethoven,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/cso-classical/seong-jin-cho-plays-beethoven/,,,,,,,,,,,,,
February,"Sat, Feb 10","Sat, Feb 10", 1 ,8:00 PM,Ladies R&B Kickback Concert,Chicago Theatre,-,Performance,Tier 3,,,,https://www.msg.com/calendar/the-chicago-theatre-february-2024-ladies-rb-kickback-concert/07005F6ED5B23FD6,,,,,,,,,,,,,
February,"Sat, Feb 10","Sat, Feb 10", 1 ,-,Lunar New Year,-,-,Holiday,Tier 4,,,,,,,,,,,,,,,,,
February,"Sun, Feb 11","Sun, Feb 11", 1 ,-,Super Bowl,-,-,Holiday,Tier 4,,,,,,,,,,,,,,,,,
February,"Mon, Feb 12","Mon, Feb 12", 1 ,7:30 PM,Dr. Jordan B. Peterson,Chicago Theatre,-,Performance,Tier 3,,,,https://www.msg.com/calendar/the-chicago-theatre-february-2024-dr-jordan-b-peterson/07005F8603BD57F3,,,,,,,,,,,,,
February,"Mon, Feb 12","Mon, Feb 12", 1 ,7:30 PM,Fantastic Zoology,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/civic-orchestra/civic-fantastic-zoology/,,,,,,,,,,,,,
February,"Tue, Feb 13","Sun, Feb 25", 12 ,Various,Girl From The North Country,CIBC Theatre,Broadway in Chicago,Performance,Tier 3,,,,https://www.broadwayinchicago.com/shows/girl-from-the-north-country/,,,,,,,,,,,,,
February,"Wed, Feb 14","Wed, Feb 14", 1 ,-,Valentine's Day,-,-,Holiday,Tier 4,,,,,,,,,,,,,,,,,
February,"Wed, Feb 14","Wed, Feb 14", 1 ,9 AM - 5 PM,Field Museum free days,Field Museum,-,Community,,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
February,"Thu, Feb 15","Thu, Feb 15", 1 ,7:30 PM,Sheku Kanneh-Mason Plays Elgar,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/cso-classical/sheku-kanneh-mason-plays-elgar/,,,,,,,,,,,,,
February,"Fri, Feb 16","Fri, Feb 16", 1 ,8:00 PM,The Blue Note Quintet / Ron Carter’s Golden Striker Trio,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/scp-jazz/ron-carter-blue-note-quartet/,,,,,,,,,,,,,
February,"Sat, Feb 17","Sat, Feb 17", 1 ,7:30 PM,Blade Runner In Concert,Auditorium Theatre,Auditorium Theatre,Performance,Tier 3,,,,https://auditoriumtheatre.org/events-details/blade-runner-in-concert/,,,,,,,,,,,,,
February,"Sat, Feb 17","Sat, Feb 17", 1 ,7:30 PM,Sheku Kanneh-Mason Plays Elgar,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/cso-classical/sheku-kanneh-mason-plays-elgar/,,,,,,,,,,,,,
February,"Sat, Feb 17","Sat, Feb 17", 1 ,"11 AM, 12:45 PM",Carnival of the Animals,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/cso-for-kids/carnival-of-the-animals/,,,,,,,,,,,,,
February,"Sun, Feb 18","Sun, Feb 18", 1 ,3:00 PM,Sheku Kanneh-Mason Plays Elgar,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/cso-classical/sheku-kanneh-mason-plays-elgar/,,,,,,,,,,,,,
February,"Mon, Feb 19","Mon, Feb 19", 1 ,-,President's Day (Federal),-,-,Holiday,Tier 4,,,,,,,,,,,,,,,,,
February,"Wed, Feb 21","Wed, Feb 21", 1 ,9 AM - 5 PM,Field Museum free days,Field Museum,-,Community,,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
February,"Fri, Feb 23","Sat, Feb 24", 1 ,7:30 PM,Tchaikovsky & Shostakovich,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/cso-classical/tchaikovsky-and-shostakovich/,,,,,,,,,,,,,
February,"Sat, Feb 24","Sat, Feb 24", 1 ,2:00 PM,Crain-Maling Foundation CSO Young Artists Competition Finals,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/civic-orchestra/young-artists-competition/,,,,,,,,,,,,,
February,"Sat, Feb 24","Sat, Feb 24", 1 ,7:00 PM,Fortune Feimster,Chicago Theatre,-,Performance,Tier 3,,,,https://www.msg.com/calendar/the-chicago-theatre-february-2024-fortune-feimster/07005F33B2F921FB,,,,,,,,,,,,,
February,"Sat, Feb 24","Sat, Feb 24", 1 ,7:30 PM,Magic of Motown,Auditorium Theatre,Auditorium Theatre,Performance,Tier 3,,,,https://auditoriumtheatre.org/events-details/magic-of-motown/,,,,,,,,,,,,,
February,"Sun, Feb 25","Sun, Feb 25", 1 ,3:00 PM,Pierre-Laurent Aimard,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/scp-piano/pierre-laurent-aimard/,,,,,,,,,,,,,
February,"Tue, Feb 27","Sun, Mar 10", 12 ,Various,Mrs. Doubtfire,James M. Nederlander Theatre,Broadway in Chicago,Performance,Tier 3,,,,https://www.broadwayinchicago.com/shows/mrs-doubtfire/,,,,,,,,,,,,,
February,"Tue, Feb 27","Tue, Feb 27", 1 ,7:30 PM,Tchaikovsky & Shostakovich,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/cso-classical/tchaikovsky-and-shostakovich/,,,,,,,,,,,,,
February,"Wed, Feb 28","Sun, Mar 3", 4 ,Various,Message in a Bottle,Cadillac Palace Theatre,Broadway in Chicago,Performance,Tier 3,,,,https://www.broadwayinchicago.com/shows/message-in-a-bottle/,,,,,,,,,,,,,
February,"Wed, Feb 28","Wed, Feb 28", 1 ,9 AM - 5 PM,Field Museum free days,Field Museum,-,Community,,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
March,"Fri, Mar 1","Sat, Mar 2", 1 ,7:30 PM,Schubert & Beethoven,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/cso-classical/schubert-and-beethoven/,,,,,,,,,,,,,
March,"Fri, Mar 1","Fri, Mar 1", 1 ,1:30 PM,Schubert & Beethoven,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/cso-classical/schubert-and-beethoven/,,,,,,,,,,,,,
March,"Fri, Mar 1","Fri, Mar 1", 1 ,7:00 PM,Richard Marx with special guest John Waite,Auditorium Theatre,Auditorium Theatre,Performance,Tier 3,,,,https://auditoriumtheatre.org/events-details/richard-marx/,,,,,,,,,,,,,
March,"Fri, Mar 1","Fri, Mar 1", 1 ,7:30 PM,Paradise Rumour,Harris Theater,Harris Theater,Performance,Tier 3,,,,https://www.harristheaterchicago.org/performance/paradise-rumour,,,,,,,,,,,,,
March,"Sat, Mar 2","Sat, Mar 2", 1 ,2:00 PM,Black Grace Family Matinee,Harris Theater,Harris Theater,Performance,Tier 3,,,,https://www.harristheaterchicago.org/performance/black-grace-family-matinee,,,,,,,,,,,,,
March,"Sat, Mar 2","Sat, Mar 2", 1 ,7:30 PM,Chicago Fire FC vs. FC Cincinnati,Soldier Field,-,Performance,Tier 3,,,,https://www.soldierfield.com/events/detail/chicago-fire-fc-vs-fc-cincinnati-2,,,,,,,,,,,,,
March,"Sat, Mar 2","Sat, Mar 2", 1 ,"3 PM, 7:30 PM",The Price Is Right Live,Chicago Theatre,-,Performance,Tier 3,,,,https://www.msg.com/calendar/the-chicago-theatre-march-2024-the-price-is-right-live/07005F44B27E1F5B,,,,,,,,,,,,,
March,"Sun, Mar 3","Sun, Mar 3", 1 ,3:00 PM,Trinity Irish Dance Company,Auditorium Theatre,Auditorium Theatre,Performance,Tier 3,,,,https://auditoriumtheatre.org/events-details/trinity-irish-dance-company/,,,,,,,,,,,,,
March,"Sun, Mar 3","Sun, Mar 3", 1 ,4:30 PM,Jessie Montgomery & Curtis Stewart,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/cso-musicnow/montgomery-stewart/,,,,,,,,,,,,,
March,"Sun, Mar 3","Sun, Mar 3", 1 ,-,McCormick Tribune Skating Rink Closes,Millennium Park,DCASE,Community,,,,Yes,,,,,,,,,,,,,,
March,"Mon, Mar 4","Mon, Mar 4", 1 ,-,Casimir Pulaski Day,-,-,Holiday,Tier 4,,,,,,,,,,,,,,,,,
March,"Wed, Mar 6","Wed, Mar 6", 1 ,9 AM - 5 PM,Field Museum free days,Field Museum,-,Community,,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
March,"Wed, Mar 6","Wed, Mar 6", 1 ,7:00 PM,Giselle,Harris Theater,Harris Theater,Performance,Tier 3,,,,https://www.harristheaterchicago.org/performance/giselle,,,,,,,,,,,,,
March,"Thu, Mar 7","Thu, Mar 7", 1 ,7:30 PM,Gil Shaham Plays Mendelssohn,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/cso-classical/gil-shaham-plays-mendelssohn/,,,,,,,,,,,,,
March,"Thu, Mar 7","Thu, Mar 7", 1 ,8:00 PM,Juanes,Chicago Theatre,-,Performance,Tier 3,,,,https://www.msg.com/calendar/the-chicago-theatre-march-2024-juanes/07005F62FB7749BA,,,,,,,,,,,,,
March,"Fri, Mar 8","Sun, Mar 10", 2 ,Various,Shane Gillis,Chicago Theatre,-,Performance,Tier 3,,,,https://www.msg.com/calendar/the-chicago-theatre-march-2024-shane-gillis-live/07005F68A83823C4,,,,,,,,,,,,,
March,"Fri, Mar 8","Fri, Mar 8", 1 ,1:30 PM,Gil Shaham Plays Mendelssohn,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/cso-classical/gil-shaham-plays-mendelssohn/,,,,,,,,,,,,,
March,"Fri, Mar 8","Fri, Mar 8", 1 ,8:00 PM,Eliades Ochoa,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/scp-specials/eliades-ochoa/,,,,,,,,,,,,,
March,"Sat, Mar 9","Sat, Mar 9", 1 ,7:30 PM,Gil Shaham Plays Mendelssohn,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/cso-classical/gil-shaham-plays-mendelssohn/,,,,,,,,,,,,,
March,"Sat, Mar 9","Sat, Mar 9", 1 ,7:30 PM,MOMIX - ALICE,Auditorium Theatre,Auditorium Theatre,Performance,Tier 3,,,,https://auditoriumtheatre.org/events-details/momix/,,,,,,,,,,,,,
March,"Sun, Mar 10","Sun, Mar 10", 1 ,3:00 PM,Benjamin Grosvenor,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/scp-piano/benjamin-grosvenor/,,,,,,,,,,,,,
March,"Sun, Mar 10","Sun, Mar 10", 1 ,-,Skating Ribbon Closes,Maggie Daley Park,Maggie Daley,Community,,,,Yes,,,,,,,,,,,,,,
March,"Mon, Mar 11","Mon, Mar 11", 1 ,7:30 PM,Old St. Patrick’s: Siamsa na nGael,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/rentals/siamsa-na-ngael/,,,,,,,,,,,,,
March,"Mon, Mar 11","Mon, Mar 11", 1 ,7:30 PM,The St. John Passion,Harris Theater,Harris Theater,Performance,Tier 3,,,,https://www.harristheaterchicago.org/performance/st-john-passion,,,,,,,,,,,,,
March,"Tue, Mar 12","Sun, Mar 17", 5 ,Various,My Fair Lady,James M. Nederlander Theatre,Broadway in Chicago,Performance,Tier 3,,,,https://www.broadwayinchicago.com/shows/my-fair-lady/,,,,,,,,,,,,,
March,"Tue, Mar 12","Sun, Mar 17", 5 ,Various,Pretty Woman,CIBC Theatre,Broadway in Chicago,Performance,Tier 3,,,,https://www.broadwayinchicago.com/shows/pretty-woman/,,,,,,,,,,,,,
March,"Tue, Mar 12","Tue, Mar 12", 1 ,7:30 PM,Gil Shaham Plays Mendelssohn,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/cso-classical/gil-shaham-plays-mendelssohn/,,,,,,,,,,,,,
March,"Wed, Mar 13","Wed, Mar 13", 1 ,9 AM - 5 PM,Field Museum free days,Field Museum,-,Community,,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
March,"Wed, Mar 13","Wed, Mar 13", 1 ,8:00 PM,Ilana Glazer Live!,Chicago Theatre,-,Performance,Tier 3,,,,https://www.msg.com/calendar/the-chicago-theatre-march-2024-ilana-glazer-live/07005F7ECAD74E0E,,,,,,,,,,,,,
March,"Thu, Mar 14","Thu, Mar 14", 1 ,7:30 PM,Also sprach Zarathustra,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/cso-classical/also-sprach-zarathustra/,,,,,,,,,,,,,
March,"Fri, Mar 15","Fri, Mar 15", 1 ,1:30 PM,Also sprach Zarathustra,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/cso-classical/also-sprach-zarathustra/,,,,,,,,,,,,,
March,"Fri, Mar 15","Fri, Mar 15", 1 ,8:00 PM,Max Raabe & Palast Orchester,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/scp-specials/max-raabe-palast-orchester/,,,,,,,,,,,,,
March,"Sat, Mar 16","Sun, Mar 24", 8 ,Various,On Your Feet,CIBC Theatre,Broadway in Chicago,Performance,Tier 3,,,,https://www.broadwayinchicago.com/shows/on-your-feet/,,,,,,,,,,,,,
March,"Sat, Mar 16","Sun, Mar 17", 1 ,Various,"PAW Patrol Live! ""The Great Pirate Adventure""",Chicago Theatre,-,Performance,Tier 3,,,,https://www.msg.com/calendar/the-chicago-theatre-march-2024-paw-patrol-live-the-great-pirate-adventure/07005F81D83F519B,,,,,,,,,,,,,
March,"Sat, Mar 16","Sat, Mar 16", 1 ,12:15 PM,St. Patrick's Day Parade,Riverwalk,-,Holiday,Tier 4,,,,,,,,,,,,,,,,,
March,"Sat, Mar 16","Sat, Mar 16", 1 ,1:00 PM,Chicago Fire FC vs. CF Montreal,Soldier Field,-,Game,,,,,https://www.soldierfield.com/events/detail/chicago-fire-fc-vs-cf-montreal-3,,,,,,,,,,,,,
March,"Sat, Mar 16","Sat, Mar 16", 1 ,7:30 PM,Also sprach Zarathustra,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/cso-classical/also-sprach-zarathustra/,,,,,,,,,,,,,
March,"Sat, Mar 16","Sat, Mar 16", 1 ,7:30 PM,Chicago Sinfonietta presents ECHO,Auditorium Theatre,Auditorium Theatre,Performance,Tier 3,,,,https://auditoriumtheatre.org/events-details/chicago-sinfonietta-echo/,,,,,,,,,,,,,
March,"Sat, Mar 16","Sat, Mar 16", 1 ,7:30 PM,La Femme Dance Festival,Harris Theater,Harris Theater,Performance,Tier 3,,,,https://www.harristheaterchicago.org/performance/la-femme-dance-festival,,,,,,,,,,,,,
March,"Sun, Mar 17","Sun, Mar 17", 1 ,-,St. Patrick's Day (observed),-,-,Holiday,Tier 4,,,,,,,,,,,,,,,,,
March,"Mon, Mar 18","Mon, Mar 18", 1 ,8:00 PM,Westlife,Chicago Theatre,-,Performance,Tier 3,,,,https://www.msg.com/calendar/the-chicago-theatre-march-2024-westlife/07005F0A9DBE1917,,,,,,,,,,,,,
March,"Tue, Mar 19","Tue, Mar 19", 1 ,7:00 PM,A Notes for Peace Celebration,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/civic-orchestra/notes-for-peace-celebration/,,,,,,,,,,,,,
March,"Wed, Mar 20","Sat, Mar 23", 3 ,6:00 PM,An Evening with New York City Ballet,Harris Theater,Harris Theater,Performance,Tier 3,,,,https://www.harristheaterchicago.org/performance/nycb,,,,,,,,,,,,,
